FACULTY             ,SUBJECT DESCRIPTION,SUBJECT CODE,NO,QUESTION,LEVEL,BT LEVEL,BT KEYWORDS
FBF,CORPORATE GOVERNANCE,UBML3033,221,Identify FIVE (5) conditions that one needs to meet in order to be an independent director in Malaysian public listed company (PLC).,LOTS,KNOWLEDGE,Identify
FBF,CORPORATE GOVERNANCE,UBML3033,223,Construct an executive remuneration package using the remuneration framework as a guide. ,MOTS,APPLICATION,Construct
FBF,CORPORATE GOVERNANCE,UBML3033,224,Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,HOS,EVALUATION,Provide
FBF,ELECTRONIC MARKETING,UBTM3123,226,“Firms can use existing brand names or create new brands on the internet”. Evaluate on the above statement. ,HOS,EVALUATION,Evaluate
FBF,ELECTRONIC MARKETING,UBTM3123,228,"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",HOS,EVALUATION,"Discuss, Evaluate"
FBF,ELECTRONIC MARKETING,UBTM3123,229,"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM). ",HOS,SYNTHESIS,Recommend
FBF,ELECTRONIC MARKETING,UBTM3123,233,"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement. ",HOS,EVALUATION,Evaluate
FBF,ELECTRONIC MARKETING,UBTM3123,236,"CRM technology helps companies to collect information about consumer behaviour, conversations and characteristics. As a new digital marketing manager with an online retailer, suggest FIVE (5) ways how you can collect data and push customised information to customers. ",HOS,SYNTHESIS,Suggest
FBF,ELECTRONIC MARKETING,UBTM3123,240,The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities. ,HOS,SYNTHESIS,Recommend
FBF,ELECTRONIC MARKETING,UBTM3123,241,An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts. ,HOS,SYNTHESIS,Suggest
FBF,ELECTRONIC MARKETING,UBTM3123,242,"Assume that you have been assigned to run a Google Ads search advertising campaign for a new café in Kampar, Perak. Recommend FIVE (5) strategies to develop a successful search advertising campaign for the café.",HOS,SYNTHESIS,Recommend
FBF,ELECTRONIC MARKETING,UBTM3123,243,Standard ad formats such as leaderboard and skyscraper are common in digital display advertising. Propose FIVE (5) other creative ad formats which are more interactive and engaging. ,HOS,SYNTHESIS,Propose
FBF,ELECTRONIC MARKETING,UBTM3123,244,You have been assigned by your employer to manage their Instagram and Facebook business page. Suggest FIVE (5) ways to increase engagement with your social media users. ,HOS,SYNTHESIS,Suggest
FBF,ELECTRONIC MARKETING,UBTM3123,245,E-mail newsletters are still popular communication strategy for digital marketers. Suggest FIVE (5) ways to engage with your newsletters subscribers. ,HOS,SYNTHESIS,Suggest
FBF,ELECTRONIC MARKETING,UBTM3123,246,Describe the THREE (3) roles for social media in branding.,LOTS,KNOWLEDGE,Describe
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,250,Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,MOTS,ANALYSIS,Analyse
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,254,Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,MOTS,ANALYSIS,"Describe, Contrast, Discuss"
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,256,"By drawing appropriate diagrams, differentiate between flat file model and database model. ",MOTS,ANALYSIS,Differentiate
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,258,Differentiate between general controls and application controls. Provide ONE (1) example for each. ,MOTS,ANALYSIS,"Differentiate, Provide"
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,262,Define Information Systems (IS). ,LOTS,KNOWLEDGE,Define
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,264,State TWO (2) subsystems of AIS. ,LOTS,KNOWLEDGE,State
FBF,OPERATIONS MANAGEMENT ,UBMM2013,273,Identify and explain another graphical diagram besides network diagram which is useful for planning and scheduling. Evaluate the graphical diagram. ,HOS,EVALUATION,"Identify,  Explain, Evaluate"
FBF,OPERATIONS MANAGEMENT ,UBMM2013,274,List out FOUR (4) benefits of using RFID.,LOTS,KNOWLEDGE,List
FBF,OPERATIONS MANAGEMENT ,UBMM2013,275,Suggest any FIVE (5) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement. ,HOS,SYNTHESIS,Suggest
FBF,OPERATIONS MANAGEMENT ,UBMM2013,276,Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,LOTS,KNOWLEDGE,Identify
FBF,OPERATIONS MANAGEMENT ,UBMM2013,277,List out any SIX (6) factors to be considered when designing a layout. ,LOTS,KNOWLEDGE,List
FBF,OPERATIONS MANAGEMENT ,UBMM2013,278,Examine cross-docking warehouse layout. ,MOTS,ANALYSIS,Examine
FBF,OPERATIONS MANAGEMENT ,UBMM2013,280,Examine traditional warehouse layout and cross-docking layout. ,MOTS,ANALYSIS,Examine
FBF,OPERATIONS MANAGEMENT ,UBMM2013,284,Compare product layout and process layout. ,MOTS,ANALYSIS,Compare
FBF,OPERATIONS MANAGEMENT ,UBMM2013,286,"“Goods and services design could help manufacturers to gain competitive advantages."" Justify the statement with any THREE (3) strategies. ",HOS,EVALUATION,Justify
FBF,OPERATIONS MANAGEMENT ,UBMM2013,288,Compare matching demand and level aggregate production planning. ,MOTS,ANALYSIS,Compare
FBF,OPERATIONS MANAGEMENT ,UBMM2013,292,Suggest FOUR (4) ways logistics service provider such as FedEx practices environmental friendly principles in its operation. ,HOS,SYNTHESIS,Suggest
FBF,OPERATIONS MANAGEMENT ,UBMM2013,297,List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,LOTS,KNOWLEDGE,List
FBF,OPERATIONS MANAGEMENT ,UBMM2013,298,Identify SIX (6) factors to be considered when designing layout. ,LOTS,KNOWLEDGE,Identify
FBF,OPERATIONS MANAGEMENT ,UBMM2013,299,“Technology has aided manufacturing and service companies in inventory management.' Justify the statement. ,HOS,EVALUATION,Justify
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,302,Label the human communication process diagram below.,LOTS,KNOWLEDGE,Label
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,304,List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,LOTS,KNOWLEDGE,List
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,312,List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,LOTS,KNOWLEDGE,List
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,315,Identify FIVE (5) key players in advertising. ,LOTS,KNOWLEDGE,Identify
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,316,List SEVEN (7) types of advertising. ,LOTS,KNOWLEDGE,List
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,317,Identify FOUR (4) factors that influence consumer behaviour. ,LOTS,KNOWLEDGE,Identify
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,318,List FIVE (5) basic types of research.,LOTS,KNOWLEDGE,List
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,319,Describe the SEVEN (7) advantages of radio advertising. ,LOTS,KNOWLEDGE,Describe
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,320,NIKE will be conducting consumer research on their footwear. Assess FIVE (5) types of consumer research that Nike can implement by providing an appropriate example for each. ,HOTS,EVALUATION,Assess
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,321,"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",MOTS,ANALYSIS,Distinguish
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,322,"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",HOTS,SYNTHESIS,Design
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,323,"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",HOTS,SYNTHESIS,Propose
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,324,Define FOUR (4) primary roles of advertising in business and society. ,LOTS,KNOWLEDGE,Define
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,325,Define briefly the role of marketing in advertising effectiveness. ,LOTS,KNOWLEDGE,Define
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,327,Describe FIVE (5) key players in advertising. ,LOTS,KNOWLEDGE,Describe
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,329,Describe consumer behaviour. ,LOTS,KNOWLEDGE,Describe
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,332,Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer. ,HOTS,SYNTHESIS,"Propose, Describe"
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,333,Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,HOTS,SYNTHESIS,"Propose, Describe"
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,334,Define Chiaroscuro and Sfumato technique.,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,336,Describe the Pop Art style in 1958 - 1972.,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,339,"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",HOTS,EVALUATION,Evaluate
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,340,Define 2 dimensional and 3 dimensional designs. ,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,341,Describe FIVE (5) categories of space.,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,342,Describe Renaissance art style. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,347,Write FIVE (5) types of lines. ,LOTS,KNOWLEDGE,Write
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,348,List down FIVE (5) types of shapes. ,LOTS,KNOWLEDGE,List
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,349,Describe Impressionism art style. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,350,Write THREE (3) categories of color. ,LOTS,KNOWLEDGE,Write
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,351,Define color temperature. ,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,352,Describe FIVE (5) techniques to achieve dominance. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,355,Describe color wheel. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,360,Write down the FIVE (5) phases of the design process. ,LOTS,KNOWLEDGE,Write
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,363,Define problem solving processes.,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,364,Write FOUR (4) purposes of poster. ,LOTS,KNOWLEDGE,Write
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,365,Identify FIVE (5) problem solving processes. ,LOTS,KNOWLEDGE,Identify
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,368,Define graphic design and product design. ,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,374,Describe graphic design and product design. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,380,Describe the meaning of 'design'. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,381,Define liberal art.,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,382,Describe graphic design. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,383,Define brainstorming process. ,LOTS,KNOWLEDGE,Define
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,384,Describe material gathering process. ,LOTS,KNOWLEDGE,Describe
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,386,Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,MOTS,APPLICATION,"Draw, Apply"
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,388,The structural view of language has several components. List FIVE (5) components. ,LOTS,KNOWLEDGE,List
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,390,Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,LOTS,KNOWLEDGE,State
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,392,Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,LOTS,KNOWLEDGE,List
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,393,Distinguish between objectives and learning outcomes when planning a lesson. ,MOTS,ANALYSIS,Distinguish
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,394,There are several benefits for the statement of aims and learning outcomes in a lesson. Evaluate FIVE (5) benefits. ,HOTS,EVALUATION,Evaluate
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,400,List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,LOTS,KNOWLEDGE,List
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,401,Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,LOTS,KNOWLEDGE,"Choose, Describe"
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,403,"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",HOTS,EVALUATION,Evaluate
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,405,Differentiate spoken and written language in FIVE (5) aspects. ,MOTS,ANALYSIS,Differentiate
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,407,List FIVE (5) guidelines for spokesperson to follow during the media interview. ,LOTS,KNOWLEDGE,List
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,413,Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies. ,HOTS,EVALUATION,"Evaluate, Provide"
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,414,Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,MOTS,ANALYSIS,Predict
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,416,List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,LOTS,KNOWLEDGE,List
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,421,List FIVE (5) types of trick questions.,LOTS,KNOWLEDGE,List
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,428,Identify TEN (10) tips during the press conference. ,LOTS,KNOWLEDGE,Identify
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,434,Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,MOTS,ANALYSIS,"Discuss, Provide"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,436,Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,HOTS,SYNTHESIS,"Suggest, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,437,Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples. ,HOTS,SYNTHESIS,"Suggest, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,438,Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,HOTS,EVALUATION,"Assess, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,439,"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",HOTS,SYNTHESIS,Suggest
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,440,Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,HOTS,SYNTHESIS,Suggest
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,444,Suggest FOUR (4) recommendations in dealing with intersexes. ,HOTS,SYNTHESIS,Suggest
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,445,Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples. ,HOTS,SYNTHESIS,"Suggest, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,446,Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,HOTS,EVALUATION,Evaluate
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,447,Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,HOTS,SYNTHESIS,"Suggest, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,448,"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example. ",HOTS,EVALUATION,"Assess, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,449,Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,HOTS,EVALUATION,"Assess, Elaborate"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,450,"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",HOTS,SYNTHESIS,Suggest
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,451,"Response and Task-Based Learning are methods often used in an  classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material. ",MOTS,ANALYSIS,"Differentiate, Give"
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,453,Define instructional materials based on your understanding. ,LOTS,KNOWLEDGE,Define
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,454,List TWO (2) importance of using instructional materials in teaching.,LOTS,KNOWLEDGE,List
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,455,Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,MOTS,ANALYSIS,Examine
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,456,Jolly and Bolitho (1998) proposed a 7-stage framework to show the process of material design. Apply the framework through use of media to teach 14 year old students action verbs. State the type of media that is going to be used for the lesson. ,MOTS,APPLICATION,"Apply, State"
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,457,Define instructional materials. ,LOTS,KNOWLEDGE,Define
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,458,List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,LOTS,KNOWLEDGE,List
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,459,Examine FIVE (5) advantages of using video as instructional materials to primary school students. ,MOTS,ANALYSIS,Examine
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,462,"Analyse the usage of a reading passages to enhance reading and thinking skills for 
Form 4 students with a high proficiency level. ",MOTS,ANALYSIS,Analyse
FAS,TEACHING MATERIALS: SELECTION AND DEVELOPMENT ,UALN3023,463,Describe focused task and how it can be used to teach grammar for low  proficiency students. ,LOTS,KNOWLEDGE,Describe
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,472,Support your views with ONE (1) example for each disadvantage. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,473,Propose TWO (2) strategies to reduce the occurrence of bullying.,HOTS,SYNTHESIS,Propose
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,474,Support your views with ONE (1) example for each strategy.,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,475,Propose TWO (2) factors that are relevant to the initiation of conflict in group. ,HOTS,SYNTHESIS,Propose
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,476,Support your answers with ONE (1) example for each factor.,HOTS,SYNTHESIS,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,477,Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories. ,MOTS,ANALYSIS,Analyze
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,478,Support your answers with ONE (1) example in everyday life for each theory. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,480,Support your answers with ONE (1) example from everyday life for each type of personality. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,481,Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,MOTS,ANALYSIS,Identify
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,482,Support your answers with ONE (1) example in everyday life for each strategy. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,483,Define schemas. ,LOTS,KNOWLEDGE,Define
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,484,Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,MOTS,ANALYSIS,"Distinguish,  Support, Elaborate"
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,485,Define attitudes. ,LOTS,KNOWLEDGE,Define
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,486,Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,HOTS,EVALUATION,"Distinguish,  Support, Elaborate"
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,487,"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",HOTS,EVALUATION,"Propose, Support, Elaborate"
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,488,Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details. ,HOTS,SYNTHESIS,"Propose, Support, Elaborate"
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,489,Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details. ,HOTS,SYNTHESIS,"Propose, Support, Elaborate"
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,490,Propose TWO (2) self-presentation tactics for impression management. ,HOTS,SYNTHESIS,Propose
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,491,Support your views with TWO (2) examples in everyday life for each tactic. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,492,Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,HOTS,SYNTHESIS,Propose
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,493,Support your views with TWO (2) examples from everyday life for each origins. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,494,Propose TWO (2) strategies to resist persuasion. ,HOTS,SYNTHESIS,Propose
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,495,Support your answers with TWO (2) examples in everyday life for each strategy. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,496,Define attribution. ,LOTS,KNOWLEDGE,Define
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,498,Support your answers with ONE (1) example in everyday life for EACH theory. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,499,Define prosocial behaviors. ,LOTS,KNOWLEDGE,Define
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,501,Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,HOTS,EVALUATION,Support
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,502,Define prejudice. ,LOTS,KNOWLEDGE,Define
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,503,Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,LOTS,KNOWLEDGE,Identify
FAS,SOCIAL PSYCHOLOGY ,UAPP3054,504,Support your answers with ONE (1) example in everyday life for EACH perspective. ,HOTS,EVALUATION,Support
FAS,ADVERTISING AND SOCIETY,UAMA3063,505,List down the environmental factors that an international marketer should consider. ,LOTS,KNOWLEDGE,List
FAS,ADVERTISING AND SOCIETY,UAMA3063,506,Define the Demographic characteristics.,LOTS,KNOWLEDGE,Define
FAS,ADVERTISING AND SOCIETY,UAMA3063,512,Describe the advantages of Product Standardization. ,LOTS,KNOWLEDGE,Describe
FAS,ADVERTISING AND SOCIETY,UAMA3063,524,Describe the Concept of Culture.,LOTS,KNOWLEDGE,Describe
FAS,ADVERTISING AND SOCIETY,UAMA3063,526,Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,HOTS,EVALUATION,"Provide, Evaluate"
FAS,ADVERTISING AND SOCIETY,UAMA3063,531,Describe the challenges in global advertising. ,LOTS,KNOWLEDGE,Describe
FAS,ADVERTISING AND SOCIETY,UAMA3063,535,Describe the function of International Monetary Fund (IMF).,LOTS,KNOWLEDGE,Describe
FAS,ADVERTISING AND SOCIETY,UAMA3063,536,Identify THREE (3) classification system of economy. ,LOTS,KNOWLEDGE,Identify
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,538,Identify any FIVE (5) significances of nonverbal communication in organization. ,LOTS,KNOWLEDGE,Identify
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,542,"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",LOTS,KNOWLEDGE,List
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,543,Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,LOTS,KNOWLEDGE,Identify
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,544,Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,LOTS,KNOWLEDGE,Identify
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,545,Define organizational culture according to Schein (1990). ,LOTS,KNOWLEDGE,Define
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,548,List FIVE (5) phases of organizational conflict described by Pondy (1967). ,LOTS,KNOWLEDGE,List
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,549,List FIVE (5) elements in downward communication.,LOTS,KNOWLEDGE,List
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,550,Evaluate any FIVE (5) power bases. Provide a relevant example for each power base. ,HOTS,EVALUATION,"Evaluate, Provide"
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,553,Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,HOTS,EVALUATION,"Describe, Support"
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,555,Explain any FOUR (4) elements of vertical downward communication. Support your explanation with an example for each element on how they are beneficial to an organization. ,HOTS,EVALUATION,"Explain, Support"
